connectivity	stability	resampling	cycle
3	0.1261	0.4989	0
4	0.1212	0.5047	1
4	0.127	0.6223	0
5	0.1209	0.5947	1
5	0.1277	0.4943	2
5	0.0609	0.4098	2
5	0.0782	0.4301	1
5	0.1199	0.605	1
5	0.0595	0.4049	2
5	0.122	0.6976	0
5	0.1279	0.5866	1
5	0.127	0.7069	0
6	0.1212	0.5778	2
6	0.0807	0.4874	3
6	0.098	0.5427	2
6	0.0876	0.5007	2
6	0.1233	0.6618	1
6	0.0786	0.4673	3
6	0.1302	0.5829	2
6	0.1241	0.6594	1
6	0.124	0.7512	0
6	0.0972	0.6039	1
7	0.1028	0.5639	3
7	0.0682	0.4749	5
7	0.1078	0.5913	3
7	0.1192	0.7174	1
7	0.1219	0.6477	2
7	0.1053	0.627	2
8	0.0927	0.5774	5
8	0.1086	0.639	3
9	0.1061	0.6376	5
